FID,X,Y,Call_Taken,Location,Day
1237,-10380670.947638,5613854.940971,2016-02-04T00:00:00.000Z,2835 16th ave s,Day 3
1238,-10377244.822701,5619152.525662,2016-02-04T00:00:00.000Z,843 23rd ave se,Day 3
1239,-10379787.171059,5619162.297159,2016-02-04T00:00:00.000Z,519 8th Ave se,Day 3
1240,-10381793.201387,5611937.506133,2016-02-04T00:00:00.000Z,3525 elliot Ave s,Day 3
1241,-10384277.113015,5616050.846328,2016-02-04T00:00:00.000Z,221 CLIFTON AVE,Day 3
1242,0,0,2016-02-04T00:00:00.000Z,Bryant and lyndale,Day 3
1243,-10388932.897834,5612865.661182,2016-02-04T00:00:00.000Z,3621 32nd Street West,Day 3
1244,-10381804.612291,5613250.014086,2016-02-04T00:00:00.000Z,3051 elliot ave,Day 3
1245,-10378618.163974,5615089.641658,2016-02-04T00:00:00.000Z,2719 24th ST E,Day 3
1246,-10384608.437064,5621803.051598,2016-02-04T00:00:00.000Z,2227 6th st n,Day 3
1247,-10384058.789149,5616241.778465,2016-02-04T00:00:00.000Z,229 oak grove st,Day 3
1248,-10387200.252544,5618615.677389,2016-02-04T00:00:00.000Z,2305 4th av n,Day 3
1249,-10377431.923065,5617172.207621,2016-02-04T00:00:00.000Z,2506 Delaware st se,Day 3
1250,-10386192.483959,5620031.579886,2016-02-04T00:00:00.000Z,1225 james ave n,Day 3
1251,-10377980.585477,5619272.510094,2016-02-04T00:00:00.000Z,941 18th ave se,Day 3
1252,-10382642.651828,5623936.079013,2016-02-04T00:00:00.000Z,2619 California St NE,Day 3
1253,-10385758.808466,5615487.37595,2016-02-04T00:00:00.000Z,2119 girard ave s,Day 3
1254,-10378441.894993,5618977.769585,2016-02-04T00:00:00.000Z,1503 8th st se,Day 3
1255,0,0,2016-02-04T00:00:00.000Z,917russell ave n,Day 3
1256,-10384501.250839,5611950.625629,2016-02-04T00:00:00.000Z,3517 Harriet ave s,Day 3
1257,-10385785.849205,5626959.856073,2016-02-04T00:00:00.000Z,4357 girard ave n,Day 3
1258,-10383353.642861,5614775.005943,2016-02-04T00:00:00.000Z,2509 stevens ave s,Day 3
1259,-10386753.106246,5619778.233259,2016-02-04T00:00:00.000Z,1115 Newton Ave N,Day 3
1260,-10376962.216214,5619151.142466,2016-02-04T00:00:00.000Z,841 25th ave SE,Day 3
1261,-10383363.535861,5615340.19943,2016-02-04T00:00:00.000Z,2216 stevens,Day 3
1262,-10382648.839346,5614204.782001,2016-02-04T00:00:00.000Z,2711 5TH AVE S,Day 3
1263,-10388942.649633,5612865.722957,2016-02-04T00:00:00.000Z,3629 32nd Street West,Day 3
1264,-10386890.069673,5623353.63613,2016-02-04T00:00:00.000Z,3019 oliver av n,Day 3
1265,-10375961.644642,5615955.193058,2016-02-04T00:00:00.000Z,123 Bedford st se,Day 3
1266,-10387175.126084,5624194.650241,2016-02-04T00:00:00.000Z,3405 QUEEN AVE N,Day 3
1267,-10383460.378637,5615842.518811,2016-02-04T00:00:00.000Z,107 19TH ST E,Day 3
1268,-10382640.216415,5623459.109452,2016-02-04T00:00:00.000Z,2419 California St NE,Day 3
1269,-10385913.853741,5618887.112584,2016-02-04T00:00:00.000Z,543 humboldt av n,Day 3
1270,-10386615.106517,5619241.592154,2016-02-04T00:00:00.000Z,723 Morgan Ave n,Day 3
1271,-10381660.785216,5613035.743953,2016-02-04T00:00:00.000Z,3125 10th av s,Day 3
1272,-10386314.458599,5619363.789783,2016-02-04T00:00:00.000Z,1721 8th Ave n,Day 3
1273,-10378372.78382,5610866.00279,2016-02-04T00:00:00.000Z,2925 39TH ST E,Day 3
1274,-10388762.974457,5612864.533124,2016-02-04T00:00:00.000Z,3527 32nd Street w,Day 3
1275,-10381381.105381,5613381.826519,2016-02-04T00:00:00.000Z,3003 12th ave s,Day 3
1276,-10387459.31447,5624769.283818,2016-02-04T00:00:00.000Z,3607 Sheridan Ave N,Day 3
1277,-10379250.0514,5622880.836384,2016-02-04T00:00:00.000Z,1947 Lincoln St NE,Day 3
1278,-10381094.150336,5622357.036873,2016-02-04T00:00:00.000Z,1707 Jefferson St NE,Day 3
1279,-10385180.527721,5623337.97336,2016-02-04T00:00:00.000Z,3021 colfax ave n,Day 3
1280,-10377237.898617,5619969.447403,2016-02-04T00:00:00.000Z,1069 23RD AVE SE,Day 3
1281,-10378005.09085,5605819.312816,2016-02-04T00:00:00.000Z,5715 31st ave s,Day 3
1282,-10384202.884297,5615841.753414,2016-02-04T00:00:00.000Z,301 Ridgewood av s,Day 3
